Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30,,Taste From Home,,Chicken,,,12/8/2018,28/12/2018
Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,22/2/2019
Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/MSVt4oEeizlPLy-mSGAw3Q/0n1er9zfici6J3YY-dwqu11YRTrlooXnWI1dStW6_VGL7g7x41EgOVWWVsydmVJyXBVaIbcCR449eQygvepJYQ/rWj712kfSRmvxBu0SGQ6J-ZQkfBsNIssLoYqd89RZiM),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/x-YhdC2ScOgcDdarZFPGMQ/KucMUFg1tPB7eIyDq2HeFSiwlPB6OLji6DrASCSM0-_j0et2mjYCZbJoJEVu4EEYbtIc-agprLJtwDwf4R0Rog/e8ZHCPMrgATkx7MvI8AZbMvIorpCeLoIUxknk2-BWIU),Taste of Home,287,Vegetarian,,,11/18/2018,18/12/2018
Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/8FyDRHC8vkKPyDv9laquNQ/VoHQyU1lq1vrjczufM0SRSWv_NaLi4UNCHmJF3P4d29sRWh5vbbY59oHQjiiDWPAJnSexwvjRxG6lWQs2sYJjQ/kXT8c2ieePyPOoWSo2DfMEUMrIx7Zk2KUEfzsjmpRW4),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,9/7/2017
"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/hJ1NxgM9EnwQr1e88f9vTg/iZVNrH0V8fNLpzlWN1PzIpbBhAjq9kQnZPAj8LS5v6uPHeLW_1fd-iw5zxKAo7JnwWCuglbksYMwJBqD7JaxwQ/wpvnNXAEoCFfnKIo-xPofDxh5uZVQAUjOsT6BtW3IMs),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,23/2/2019
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,24/6/2018
Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/SCLB0YCQm2XfLxfWGzpJfA/liiErPLodFP729yhzKtXdpO60InUBTeAn9FFUmDVQ2cVKBvZq2wdnCLsSCaNTker87y6qqfNHNgYBs8nqtroRg/GJN9UBwtedhlMaygQheSYGv4wzhuTDMcLd3g3cEGJk8),"Pinterest,Taste of Home",,,,,5/13/2017,2/6/2017
Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/HgVydztTUJjO00-eae_zQA/9mcItukxwtAyeOLIAYh3EE-SNJN2e8SWSwaWqROJD8AI8L7_dtO9226h2T6Rmfsxpw_V6_i3HqwVswzlSuYf_Q/thdqM-qZ0yBMrQm7_Dyo5pMHljuYQOCH4qJkXy6EMh0),Taste From Home,,"Sausage,Cheese",,,5/5/2017,25/5/2017
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25,,Taste of Home,4,"Chicken,Rice",,,2/5/2019,25/2/2019
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30,,Taste of Home,62,"Sausage,Noodles,Cheese",,,6/18/2017,18/7/2017
Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90,,Taste of Home,110,"Beef,Noodles,Eggs",,,,#ERROR
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,,Main Dish,25,,Taste of Home,114,Beef,,,6/12/2017,12/7/2017
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/JegH2vuhszjecyR91sHC9g/KvD_JiTjfpcTvZngtIGvLOz1U_v51ZubYOdbf-HHp1s7arHBts9YPIp2mKAinPK0tRLeZElDOLUUjYLjfxCuFw/crLzl9OO_BWD9ZP_Xck8gGuW3xxAD7RJ0zEPyTywN9E),Taste of Home,115,"Beef,Rice,Beans",,,7/29/2018,18/8/2018
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,,Main Dish,45,,Taste of Home,129,Pork,,,,#ERROR
Fried Rice,⭐⭐⭐⭐,Super Simple,,Main Dish,20,,Taste of Home,135,"Chicken,Eggs,Rice",,https://www.tasteofhome.com/recipes/mom-s-fried-rice,1/24/2019,23/2/2019
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,45,,Taste of Home,141,"Sausage,Beans,Rice",checked,,6/16/2017,6/7/2017
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,146,"Noodles,Ham",,,,#ERROR
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,,Main Dish,20,,Taste of Home,175,"Noodles,Chicken",,,,#ERROR
Herb Chicken with Honey Butter,⭐⭐⭐,Average,,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/rki3cL_QQ0yIimnz1Pj02w/BKgBHSEb1eBjgJuPUbfi_Us8BDJCeD61BjSRROk1bDZDrxw0dsLkiYA6xutQrdW_gTper9100qw9EAuc2tcfJg/DD497JlqkvYcAm1-NjziXeKgIpClRAJgGynSQ-Sj908),Taste of Home,176,Chicken,,,5/23/2017,9/7/2017
French Toast,⭐⭐⭐⭐,Super Simple,,Breakfast,10,,Taste of Home,245,Eggs,,,,#ERROR
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,,Breakfast,20,,Taste of Home,245,"Milk,Eggs",,,,#ERROR
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Add bacon,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://v5.airtableusercontent.com/v1/16/16/1682006400000/OIRf499EHGUSr8YWF8D6tg/ex4e74RmJEUvWm2ssmjP5Zn5Z1CpyY6HFNOWUgnJxYc7rCseeNlr1zpWsCEux4ct0tC8sI8hH_T7PsZaQdRIQg/VpIVf7Nfky3TF_27cyAfw6jbqttf45BMXS_3tJiAOtU),Taste of Home,277,"Potatoes,Bacon,Cheese,Eggs",,,11/24/2018,14/12/2018
Baked Mostaccioli,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,90,,Taste of Home,284,"Noodles,Marinara Sauce,Cheese,Sausage",,,,#ERROR
Ravioli with Snap Peas,⭐⭐⭐⭐,Hard,,Main Dish,40,,Taste of Home,286,"Noodles,Milk,Cheese",,,7/23/2018,22/8/2018
